"Transaction Date","Recipient Name","Recipient Company","Recipient Address","Recipient Country","Class","Total Cost","Package Weight","Appearances"
"4/3/2024","Interlibrary Loan","Forsyth County Public Library","585 Dahlonega St Cumming GA 30040-2109","US","Library Mail","4.62","2 lbs ","13"
"8/20/2024","Kraemer Family Library - ILL","University of CO at Colorado Springs","1420 Astn Blffs Pkwy Colorado Springs CO 80918-3735","US","Library Mail","6.53","4 lbs ","13"
"4/26/2024","Interlibrary Loan","Cal Poly Humboldt University Library","1 Harpst St Arcata CA 95521-8299","US","Library Mail","5.32","3 lbs ","13"
"4/15/2024","ILL Department","University of Michigan","913 S University Ave 106 Hatcher N Ann Arbor MI 48109-1190","US","Library Mail","3.92","1 lbs ","13"
"4/4/2024","Interlibrary Loan","Albuquerque-Bernalillo County Library","501 Copper Ave NW Albuquerque NM 87102-3129","US","Library Mail","3.92","1 lbs ","13"
"4/5/2024","Interlibrary Loan","Alachua County Library District","401 E University Ave Gainesville FL 32601-5453","US","Library Mail","3.92","1 lbs ","13"
"4/9/2024","","Base Library - ILL","2 W Castle St 92 Fss-Fsdl Fairchild Air Force Base WA 99011-8532","US","Library Mail","4.62","2 lbs ","13"
"8/13/2024","Haselwood Library - Interlibrary Loans","Olympic College","1600 Chester Ave Bremerton WA 98337-1699","US","Library Mail","10.08","9 lbs ","13"
"4/4/2024","Interlibrary Loan Dept","Baltimore County Public Library","320 York Rd Towson MD 21204-5179","US","Library Mail","4.62","2 lbs ","13"
"4/26/2024","Interlibrary Loan","Bangor Public Library","145 Harlow St Bangor ME 04401-4900","US","Library Mail","3.92","1 lbs ","13"
"4/24/2024","Interlibrary Loan Dept","University of Texas at El Paso Library","""500 W University Ave, Rm 201-B El Paso TX 79968-0582""","US","Library Mail","6.02","4 lbs ","13"
"4/3/2024","Interlibrary Loan","Teton County Library","PO Box 1629 Jackson WY 83001-1629","US","Library Mail","4.62","2 lbs ","13"
"4/10/2024","Interlibrary Loan Dept","North Dakota State Library","""604 E Boulevard Ave, Dept 250 Bismarck ND 58505-0800""","US","Library Mail","3.92","1 lbs ","12"
